NUMTAR;CODALM;CODPDT;DESPDT;DOCFEC;DOCSER;DOCNUM;CANFACT;CANREAL;DTOMAT;CODMOD;PORIMP;PORREC;PVP;LINMATE;MARCA
01;01;4903-017;BATERIA 90 AH +D;21/04/2009;91;000348;1;1;15;01;16;4;85,65;00005;N
01;01;4903-907151;BORNA BATERIA POSITIVO;21/04/2009;91;000348;1;1;15;01;16;4;4,35;00010;N
01;01;4903-907152;BORNA BATERIA NEGATIVO;21/04/2009;91;000348;1;1;15;01;16;4;4,35;00015;N
01;01;RP343G16;ACEITE HIDRAULICO EP 68 (20 L.);21/04/2009;92;000118;1;1;0;;;;41,145;00005;N
01;01;RP037M16;ACEITE MOTOR 15W40  20 L.;21/04/2009;92;000118;1;1;0;;;;55,73;00010;N
01;01;RP652X47;GRASA LITICA EP-2/3 5KG;21/04/2009;92;000118;1;1;0;;;;14,03;00015;N
01;01;22511-12-16;ESPIGA RECYTA T.L. JIC 3/4;21/04/2009;91;000349;1;1;0;01;16;4;5,9;00005;N
01;01;9900-12;CASQUILLO R9 3/4;21/04/2009;91;000349;1;1;0;01;16;4;3,9;00010;N
01;01;3X26;TORICA NITRILO;21/04/2009;91;000349;2;2;0;01;16;4;1,3;00015;N
01;01;3300-12;CASQUILLO R1AT 3/4;21/04/2009;91;000350;1;1;15;01;16;4;2,02;00005;N
01;01;22413-12-16;ESPIGA RECTA T.L. ORFS 3/4;21/04/2009;91;000350;1;1;15;01;16;4;16,38;00010;N
01;01;4738-B76;FILTRO ACEITE MOTOR     466634;22/04/2009;91;000351;4;4;20;01;16;4;9,4;00005;N
01;01;RP652X47;GRASA LITICA EP-2/3 5KG;22/04/2009;92;000119;1;1;0;;;;14,03;00005;N
01;01;20511-04-04;ESPIGA RECTA T.L. BSP 1/4;22/04/2009;91;000352;2;2;15;01;16;4;0,9;00005;N
01;01;3511-04;MANGUERA R2AT 1/4;22/04/2009;91;000352;0,37;0,37;15;01;16;4;6,8;00010;N
01;01;3300-04;CASQUILLO R1AT 1/4;22/04/2009;91;000352;2;2;15;01;16;4;0,61;00015;N
01;01;7S3206;TORICA PRECAMARA;22/04/2009;91;000353;4;4;20;01;16;4;0,78;00005;N
01;01;5M2667;ARANDELA PRECAMARA;22/04/2009;91;000353;4;4;20;01;16;4;3,87;00010;N
01;01;2S8959;ARANDELA PRECAMARA;22/04/2009;91;000353;4;4;20;01;16;4;1,56;00015;N
01;01;2S8960;ARANDELA DE PRECAMARA 6.4;22/04/2009;91;000353;4;4;20;01;16;4;1,8;00020;N
01;01;6V2246;KIT JUNTA CULATA;22/04/2009;91;000353;1;1;20;01;16;4;100,5;00025;N
01;01;5B3718;TORICA;22/04/2009;91;000353;4;4;20;01;16;4;1,15;00030;N
01;01;2N2766;TUERCA DE ESCAPE;22/04/2009;91;000353;24;24;20;01;16;4;2,235;00035;N
01;01;6N7174;RETEN VALVULA;22/04/2009;91;000353;8;8;20;01;16;4;1,4;00040;N
01;01;TMG-08-08;TAPON MACHO;23/04/2009;92;000120;2;2;15;;;;1,57;00005;N
01;01;4929-386531200;SENSOR TEMPERATURA;23/04/2009;91;000354;1;1;15;01;16;4;34,06;00005;N
01;01;09DISPA6;TUBERIA TEKALAN 6 X 4;23/04/2009;91;000355;10;10;0;01;16;4;1;00005;N
